Mineprep:0.5 | 时间戳1789889184.6354427,中文,English,繁體中文,,,"② *生成器过滤类型{1:'👤', 2:'🟩' , 3:'🟥', 4:'🟨', 5:'🌊', 6:'📸', 7:'💡', 8:'👪', 9:'✨', 10:'🧱', 11:'𝓕', 12:'🔧'}",<2:放置生物>,<2:Mobs>,<2:放置生物>,,,,③,<3:预设素材>,<3:Preset>,<3:預設素材>,,,④,<4:附加组件>,<4:Attach>,<4:附加組件>,,,⑤,<5:枚举选项>,<5:Enum Options>,<5:枚舉選項>,,,,⑥,<6:放置方块>,<6:Blocks>,<6:放置方塊>,,,,⑦,<7:放置物品>,<7:Items>,<7:放置物品>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,棕色染色玻璃板 [无边交替],brown_stained_glass_pane_noside_alt,啡色染色玻璃片 (棕色玻璃片) [無邊交替],,,,👤🟩,金靴子,golden_boots,金靴 (黃金靴子)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,棕色染色玻璃板 [柱],brown_stained_glass_pane_post,啡色染色玻璃片 (棕色玻璃片) [柱],,,,🟩,金胡萝卜,golden_carrot,金紅蘿蔔 (金胡蘿蔔)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,棕色染色玻璃板 [边],brown_stained_glass_pane_side,啡色染色玻璃片 (棕色玻璃片) [邊],,,,👤🟩,金胸甲,golden_chestplate,金胸甲 (黃金胸甲)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,棕色染色玻璃板 [边交替],brown_stained_glass_pane_side_alt,啡色染色玻璃片 (棕色玻璃片) [邊交替],,,,👤🟩,金头盔,golden_helmet,金頭盔 (黃金頭盔)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,棕色陶瓦,brown_terracotta,啡色陶瓦 (棕色陶土),,,,👤🟩,金锄,golden_hoe,金鋤頭 (金鋤)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,棕色羊毛,brown_wool,啡色羊毛 (棕色羊毛),,,,👤🟩,金马铠,golden_horse_armor,金馬甲 (黃金製馬鎧)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩🌊,气泡珊瑚,bubble_coral,氣泡珊瑚,,,,👤🟩,金护腿,golden_leggings,金護腳 (黃金護腿)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩🌊,气泡珊瑚块,bubble_coral_block,氣泡珊瑚方塊,,,,👤🟩🌊,金鹦鹉螺铠,golden_nautilus_armor,金鸚鵡螺甲 (黃金製鸚鵡螺鎧)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩🌊,气泡珊瑚扇,bubble_coral_fan,扇狀氣泡珊瑚,,,,👤🟩,金镐,golden_pickaxe,金鎬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩🌊,墙上的气泡珊瑚扇,bubble_coral_wall_fan,牆上的扇狀氣泡珊瑚,,,,👤🟩,金锹,golden_shovel,金鏟
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,紫水晶母岩,budding_amethyst,紫水晶母巖 (紫水晶芽床),,,,👤🟩,金矛,golden_spear,金矛
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,灌木丛,bush,灌木叢,,,,👤🟩,金矛 [手持],golden_spear_in_hand,金矛 [手持]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,按钮（父模型）,button,按鈕（父模型）,,,,👤🟩,金剑,golden_sword,金劍
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,按钮（父模型） [物品栏],button_inventory,按鈕（父模型） [物品欄],,,,👤🟩,灰色收纳袋,gray_bundle,灰色收納袋 (灰色束口袋)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,按钮（父模型） [按下],button_pressed,按鈕（父模型） [按下],,,,👤🟩,灰色收纳袋 [打开背面],gray_bundle_open_back,灰色收納袋 (灰色束口袋) [打開背面]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,仙人掌,cactus,仙人掌,,,,👤🟩,灰色收纳袋 [打开正面],gray_bundle_open_front,灰色收納袋 (灰色束口袋) [打開正面]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,仙人掌花,cactus_flower,仙人掌花,,,,👤🟩,灰色蜡烛,gray_candle,灰色蠟燭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,蛋糕,cake,蛋糕,,,,👤🟩,灰色染料,gray_dye,灰色染料
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩🌊,蛋糕 [切片1],cake_slice1,蛋糕 [切片1],,,,👤🟩,灰色挽具,gray_harness,灰色牽引器具 (灰色帽鞍)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩🌊,蛋糕 [切片2],cake_slice2,蛋糕 [切片2],,,,👤🟩,绿色收纳袋,green_bundle,綠色收納袋 (綠色束口袋)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩🌊,蛋糕 [切片3],cake_slice3,蛋糕 [切片3],,,,👤🟩,绿色收纳袋 [打开背面],green_bundle_open_back,綠色收納袋 (綠色束口袋) [打開背面]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩🌊,蛋糕 [切片4],cake_slice4,蛋糕 [切片4],,,,👤🟩,绿色收纳袋 [打开正面],green_bundle_open_front,綠色收納袋 (綠色束口袋) [打開正面]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩🌊,蛋糕 [切片5],cake_slice5,蛋糕 [切片5],,,,👤🟩,绿色蜡烛,green_candle,綠色蠟燭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩🌊,蛋糕 [切片6],cake_slice6,蛋糕 [切片6],,,,👤🟩,绿色染料,green_dye,綠色染料
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,方解石,calcite,方解石,,,,👤🟩,绿色挽具,green_harness,綠色牽引器具 (綠色帽鞍)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,校频幽匿感测体,calibrated_sculk_sensor,校準沉靈傳感器 (校準伏聆振測器),,,,👤🟩,守卫者刷怪蛋,guardian_spawn_egg,深海守衞生成蛋 (深海守衛生怪蛋)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,校频幽匿感测体 [激活],calibrated_sculk_sensor_active,校準沉靈傳感器 (校準伏聆振測器) [啟動],,,,🟩,火药,gunpowder,火藥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,校频幽匿感测体 [未激活],calibrated_sculk_sensor_inactive,校準沉靈傳感器 (校準伏聆振測器) [未啟動],,,,👤🟩,旗帜图案,guster_banner_pattern,橫額圖案 (旗幟圖案)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩💡,营火,campfire,營火,,,,👤🟩,旋风纹样陶片,guster_pottery_sherd,旋風陶罐碎片 (狂風陶器碎片)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,营火 [关闭],campfire_off,營火 [關閉],,,,👤🟥,快乐恶魂刷怪蛋,happy_ghast_spawn_egg,快樂幽靈生成蛋 (快樂幽靈生怪蛋)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,插上蜡烛的蛋糕,candle_cake,插上蠟燭的蛋糕,,,,🟩🌊,海洋之心,heart_of_the_sea,海洋之心
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,插上蜡烛的蛋糕 [点燃],candle_cake_lit,插上蠟燭的蛋糕 [點燃],,,,👤🟩,爱心纹样陶片,heart_pottery_sherd,愛心陶罐碎片 (愛心陶器碎片)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,蜡烛 [四支蜡烛],candle_four_candles,蠟燭 [四支蠟燭],,,,👤🟩,心碎纹样陶片,heartbreak_pottery_sherd,心碎陶罐碎片 (心碎陶器碎片)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,蜡烛 [四支蜡烛点燃],candle_four_candles_lit,蠟燭 [四支蠟燭點燃],,,,👤🟥,疣猪兽刷怪蛋,hoglin_spawn_egg,野豬獸生成蛋 (豬布獸生怪蛋)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,蜡烛 [一支蜡烛],candle_one_candle,蠟燭 [一支蠟燭],,,,🟩,蜂蜜瓶,honey_bottle,蜜糖樽 (蜂蜜瓶)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,蜡烛 [一支蜡烛点燃],candle_one_candle_lit,蠟燭 [一支蠟燭點燃],,,,🟩,蜜脾,honeycomb,蜂巢蜜 (蜂巢)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,蜡烛 [三支蜡烛],candle_three_candles,蠟燭 [三支蠟燭],,,,👤🟩,漏斗,hopper,漏斗
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,蜡烛 [三支蜡烛点燃],candle_three_candles_lit,蠟燭 [三支蠟燭點燃],,,,👤🟩,漏斗矿车,hopper_minecart,漏斗礦車
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,蜡烛 [两支蜡烛],candle_two_candles,蠟燭 [兩支蠟燭],,,,👤🟩,马刷怪蛋,horse_spawn_egg,馬生成蛋 (馬生怪蛋)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,蜡烛 [两支蜡烛点燃],candle_two_candles_lit,蠟燭 [兩支蠟燭點燃],,,,👤🟩,锻造模板,host_armor_trim_smithing_template,鍛造模板
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,地毯（父模型）,carpet,地毯（父模型）,,,,👤🟩,狼嚎纹样陶片,howl_pottery_sherd,狼嚎陶罐碎片 (狼嚎陶器碎片)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,胡萝卜 [阶段0],carrots_stage0,紅蘿蔔 (胡蘿蔔) [階段0],,,,👤🟩,尸壳刷怪蛋,husk_spawn_egg,屍殼生成蛋 (屍殼生怪蛋)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,胡萝卜 [阶段1],carrots_stage1,紅蘿蔔 (胡蘿蔔) [階段1],,,,🟩,墨囊,ink_sac,墨囊
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,胡萝卜 [阶段2],carrots_stage2,紅蘿蔔 (胡蘿蔔) [階段2],,,,👤🟩,铁斧,iron_axe,鐵斧頭 (鐵斧)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,胡萝卜 [阶段3],carrots_stage3,紅蘿蔔 (胡蘿蔔) [階段3],,,,👤🟩,铁靴子,iron_boots,鐵靴 (鐵製靴子)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,制图台,cartography_table,製圖台,,,,👤🟩,铁链,iron_chain,鐵鏈
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,雕刻南瓜,carved_pumpkin,雕刻南瓜 (雕刻過的南瓜),,,,👤🟩,铁胸甲,iron_chestplate,鐵胸甲 (鐵製胸甲)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,炼药锅,cauldron,鍋 (鍋釜),,,,👤🟩,铁门,iron_door,鐵門
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,洞穴藤蔓,cave_vines,洞穴藤蔓,,,,👤🟩,铁傀儡刷怪蛋,iron_golem_spawn_egg,鐵人生成蛋 (鐵魔像生怪蛋)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩💡,洞穴藤蔓 [点燃],cave_vines_lit,洞穴藤蔓 [點燃],,,,👤🟩,铁头盔,iron_helmet,鐵頭盔 (鐵製頭盔)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,洞穴藤蔓植株,cave_vines_plant,洞穴藤蔓植株,,,,👤🟩,铁锄,iron_hoe,鐵鋤頭 (鐵鋤)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩💡,洞穴藤蔓植株 [点燃],cave_vines_plant_lit,洞穴藤蔓植株 [點燃],,,,👤🟩,铁马铠,iron_horse_armor,鐵馬甲 (鐵製馬鎧)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,连锁型命令方块,chain_command_block,連環型命令方塊 (連鎖式指令方塊),,,,🟩,铁锭,iron_ingot,鐵錠
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,连锁型命令方块 [条件],chain_command_block_conditional,連環型命令方塊 (連鎖式指令方塊) [條件],,,,👤🟩,铁护腿,iron_leggings,鐵護腳 (鐵製護腿)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木按钮,cherry_button,櫻花木按鈕,,,,👤🟩🌊,铁鹦鹉螺铠,iron_nautilus_armor,鐵鸚鵡螺甲 (鐵製鸚鵡螺鎧)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木按钮 [物品栏],cherry_button_inventory,櫻花木按鈕 [物品欄],,,,🟩,铁粒,iron_nugget,鐵粒
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木按钮 [按下],cherry_button_pressed,櫻花木按鈕 [按下],,,,👤🟩,铁镐,iron_pickaxe,鐵鎬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木门 [底部左],cherry_door_bottom_left,櫻花木門 [底部左],,,,👤🟩,铁锹,iron_shovel,鐵鏟
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木门 [底部左打开],cherry_door_bottom_left_open,櫻花木門 [底部左打開],,,,👤🟩,铁矛,iron_spear,鐵矛
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木门 [底部右],cherry_door_bottom_right,櫻花木門 [底部右],,,,👤🟩,铁矛 [手持],iron_spear_in_hand,鐵矛 [手持]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木门 [底部右打开],cherry_door_bottom_right_open,櫻花木門 [底部右打開],,,,👤🟩,铁剑,iron_sword,鐵劍
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木门 [顶部左],cherry_door_top_left,櫻花木門 [頂部左],,,,👤🟩,物品展示框,item_frame,物品展示框
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木门 [顶部左打开],cherry_door_top_left_open,櫻花木門 [頂部左打開],,,,👤🟩🌊,丛林木船,jungle_boat,叢林木船
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木门 [顶部右],cherry_door_top_right,櫻花木門 [頂部右],,,,👤🟩🌊,丛林木运输船,jungle_chest_boat,儲物箱叢林木船
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木门 [顶部右打开],cherry_door_top_right_open,櫻花木門 [頂部右打開],,,,👤🟩,丛林木门,jungle_door,叢林木門
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木栅栏门,cherry_fence_gate,櫻花木閘門 (櫻花木柵欄門),,,,👤🟩,悬挂式丛林木告示牌,jungle_hanging_sign,叢林木吊牌 (懸掛式叢林木告示牌)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木栅栏门 [打开],cherry_fence_gate_open,櫻花木閘門 (櫻花木柵欄門) [打開],,,,👤🟩,丛林木告示牌,jungle_sign,叢林木指示牌 (叢林木告示牌)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木栅栏门 [墙上],cherry_fence_gate_wall,櫻花木閘門 (櫻花木柵欄門) [牆上],,,,🟩🌊,海带,kelp,海帶
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木栅栏门 [墙上打开],cherry_fence_gate_wall_open,櫻花木閘門 (櫻花木柵欄門) [牆上打開],,,,👤🟩,知识之书,knowledge_book,知識之書
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木栅栏 [物品栏],cherry_fence_inventory,櫻花木欄杆 (櫻花木柵欄) [物品欄],,,,🟩💡,灯笼,lantern,燈籠
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木栅栏 [柱],cherry_fence_post,櫻花木欄杆 (櫻花木柵欄) [柱],,,,🟩,青金石,lapis_lazuli,青金石
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木栅栏 [边],cherry_fence_side,櫻花木欄杆 (櫻花木柵欄) [邊],,,,👤🟩,熔岩桶,lava_bucket,熔巖桶 (熔岩桶)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,悬挂式樱花木告示牌 [附着旋转0],cherry_hanging_sign_attached_rot_0,櫻花木吊牌 (懸掛式櫻花木告示牌) [附著旋轉0],,,,👤🟩,拴绳,lead,牽繩 (拴繩)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,悬挂式樱花木告示牌 [附着旋转1],cherry_hanging_sign_attached_rot_1,櫻花木吊牌 (懸掛式櫻花木告示牌) [附著旋轉1],,,,🟩💡,枯叶堆,leaf_litter,枯葉
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,悬挂式樱花木告示牌 [附着旋转2],cherry_hanging_sign_attached_rot_2,櫻花木吊牌 (懸掛式櫻花木告示牌) [附著旋轉2],,,,🟩,皮革,leather,皮革
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,悬挂式樱花木告示牌 [附着旋转3],cherry_hanging_sign_attached_rot_3,櫻花木吊牌 (懸掛式櫻花木告示牌) [附著旋轉3],,,,👤🟩,皮革靴子,leather_boots,皮革靴 (皮革靴子)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,悬挂式樱花木告示牌 [旋转0],cherry_hanging_sign_rot_0,櫻花木吊牌 (懸掛式櫻花木告示牌) [旋轉0],,,,👤🟩,皮革靴子 [叠加],leather_boots_overlay,皮革靴 (皮革靴子) [疊加]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,悬挂式樱花木告示牌 [旋转1],cherry_hanging_sign_rot_1,櫻花木吊牌 (懸掛式櫻花木告示牌) [旋轉1],,,,👤🟩,皮革外套,leather_chestplate,皮革衫 (皮革上衣)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,悬挂式樱花木告示牌 [旋转2],cherry_hanging_sign_rot_2,櫻花木吊牌 (懸掛式櫻花木告示牌) [旋轉2],,,,👤🟩,皮革外套 [叠加],leather_chestplate_overlay,皮革衫 (皮革上衣) [疊加]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,悬挂式樱花木告示牌 [旋转3],cherry_hanging_sign_rot_3,櫻花木吊牌 (懸掛式櫻花木告示牌) [旋轉3],,,,👤🟩,皮革帽子,leather_helmet,皮革帽 (皮革帽子)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,樱花树叶,cherry_leaves,櫻花木樹葉,,,,👤🟩,皮革帽子 [叠加],leather_helmet_overlay,皮革帽 (皮革帽子) [疊加]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,樱花原木,cherry_log,櫻花木原木,,,,👤🟩,皮革马铠,leather_horse_armor,皮革馬甲 (皮革製馬鎧)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,樱花原木 [X轴],cherry_log_x,櫻花木原木 [X軸],,,,👤🟩,皮革马铠 [叠加],leather_horse_armor_overlay,皮革馬甲 (皮革製馬鎧) [疊加]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,樱花原木 [Y轴],cherry_log_y,櫻花木原木 [Y軸],,,,👤🟩,皮革裤子,leather_leggings,皮革褲 (皮革褲子)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,樱花原木 [Z轴],cherry_log_z,櫻花木原木 [Z軸],,,,👤🟩,皮革裤子 [叠加],leather_leggings_overlay,皮革褲 (皮革褲子) [疊加]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木板,cherry_planks,櫻花木板 (櫻花木材),,,,🟩,光源方块,light,光 (光源)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木压力板,cherry_pressure_plate,櫻花木壓力板,,,,🟩💡,光源方块 [00],light_00,光 (光源) [00]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木压力板 [按下],cherry_pressure_plate_down,櫻花木壓力板 [按下],,,,🟩💡,光源方块 [01],light_01,光 (光源) [01]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,樱花树苗,cherry_sapling,櫻花木樹苗,,,,🟩💡,光源方块 [02],light_02,光 (光源) [02]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木展示架,cherry_shelf,櫻花木置物架 (櫻花木展示架),,,,🟩💡,光源方块 [03],light_03,光 (光源) [03]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木展示架 [中],cherry_shelf_center,櫻花木置物架 (櫻花木展示架) [中],,,,🟩💡,光源方块 [04],light_04,光 (光源) [04]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木展示架 [物品栏],cherry_shelf_inventory,櫻花木置物架 (櫻花木展示架) [物品欄],,,,🟩💡,光源方块 [05],light_05,光 (光源) [05]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木展示架 [左],cherry_shelf_left,櫻花木置物架 (櫻花木展示架) [左],,,,🟩💡,光源方块 [06],light_06,光 (光源) [06]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木展示架 [右],cherry_shelf_right,櫻花木置物架 (櫻花木展示架) [右],,,,🟩💡,光源方块 [07],light_07,光 (光源) [07]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木展示架 [未连接],cherry_shelf_unconnected,櫻花木置物架 (櫻花木展示架) [未連接],,,,🟩💡,光源方块 [08],light_08,光 (光源) [08]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木展示架 [未充能],cherry_shelf_unpowered,櫻花木置物架 (櫻花木展示架) [未充能],,,,🟩💡,光源方块 [09],light_09,光 (光源) [09]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木告示牌 [旋转0],cherry_sign_rot_0,櫻花木指示牌 (櫻花木告示牌) [旋轉0],,,,🟩💡,光源方块 [10],light_10,光 (光源) [10]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木告示牌 [旋转1],cherry_sign_rot_1,櫻花木指示牌 (櫻花木告示牌) [旋轉1],,,,🟩💡,光源方块 [11],light_11,光 (光源) [11]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木告示牌 [旋转2],cherry_sign_rot_2,櫻花木指示牌 (櫻花木告示牌) [旋轉2],,,,🟩💡,光源方块 [12],light_12,光 (光源) [12]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木告示牌 [旋转3],cherry_sign_rot_3,櫻花木指示牌 (櫻花木告示牌) [旋轉3],,,,🟩💡,光源方块 [13],light_13,光 (光源) [13]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木台阶,cherry_slab,櫻花木半磚,,,,🟩💡,光源方块 [14],light_14,光 (光源) [14]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木台阶 [顶部],cherry_slab_top,櫻花木半磚 [頂部],,,,🟩💡,光源方块 [15],light_15,光 (光源) [15]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木楼梯,cherry_stairs,櫻花木樓梯 (櫻花木階梯),,,,👤🟩,淡蓝色收纳袋,light_blue_bundle,淺藍色收納袋 (淺藍色束口袋)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木楼梯 [内角],cherry_stairs_inner,櫻花木樓梯 (櫻花木階梯) [內角],,,,👤🟩,淡蓝色收纳袋 [打开背面],light_blue_bundle_open_back,淺藍色收納袋 (淺藍色束口袋) [打開背面]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木楼梯 [外角],cherry_stairs_outer,櫻花木樓梯 (櫻花木階梯) [外角],,,,👤🟩,淡蓝色收纳袋 [打开正面],light_blue_bundle_open_front,淺藍色收納袋 (淺藍色束口袋) [打開正面]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木活板门 [底部],cherry_trapdoor_bottom,櫻花木地板門 [底部],,,,👤🟩,淡蓝色蜡烛,light_blue_candle,淺藍色蠟燭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木活板门 [打开],cherry_trapdoor_open,櫻花木地板門 [打開],,,,👤🟩,淡蓝色染料,light_blue_dye,淺藍色染料
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,樱花木活板门 [顶部],cherry_trapdoor_top,櫻花木地板門 [頂部],,,,👤🟩,淡蓝色挽具,light_blue_harness,淺藍色牽引器具 (淺藍色帽鞍)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,墙上的悬挂式樱花木告示牌,cherry_wall_hanging_sign,牆上的櫻花木吊牌 (牆上的懸掛式櫻花木告示牌),,,,👤🟩,淡灰色收纳袋,light_gray_bundle,淺灰色收納袋 (淺灰色束口袋)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,墙上的樱花木告示牌,cherry_wall_sign,牆上的櫻花木指示牌 (牆上的櫻花木告示牌),,,,👤🟩,淡灰色收纳袋 [打开背面],light_gray_bundle_open_back,淺灰色收納袋 (淺灰色束口袋) [打開背面]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,樱花木,cherry_wood,櫻花木 (櫻花木塊),,,,👤🟩,淡灰色收纳袋 [打开正面],light_gray_bundle_open_front,淺灰色收納袋 (淺灰色束口袋) [打開正面]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,箱子,chest,儲物箱,,,,👤🟩,淡灰色蜡烛,light_gray_candle,淺灰色蠟燭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,开裂的铁砧,chipped_anvil,開裂的鐵砧 (微損的鐵砧),,,,👤🟩,淡灰色染料,light_gray_dye,淺灰色染料
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,雕纹书架,chiseled_bookshelf,浮雕書櫃,,,,👤🟩,淡灰色挽具,light_gray_harness,淺灰色牽引器具 (淺灰色帽鞍)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,雕纹书架 [空槽底部左],chiseled_bookshelf_empty_slot_bottom_left,浮雕書櫃 [空槽底部左],,,,👤🟩,黄绿色收纳袋,lime_bundle,淺綠色收納袋 (淺綠色束口袋)
